name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"El Centro Mexican Restaurant, Boston","472 Shawmut Ave, Boston, MA 02118-3309",(86),40,27,6,4,5,$$ - $$$,Mexican,Vegetarian Friendly,Gluten Free Options
Harvard Club of Boston,"374 Commonwealth Ave, Boston, MA 02215-2860",(53),26,13,7,1,2,$$$$,American,Bar,Contemporary
"Dona Habana, Boston","811 Massachusetts Ave, Boston, MA 02118-2605",(92),39,22,9,8,6,$$ - $$$,Caribbean,Latin,Bar
"Esperia Grill, Boston","344 Washington St Brighton, Boston, MA 02135-3320",(42),26,14,2,0,0,$$ - $$$,Mediterranean,Greek,Vegetarian Friendly
"Pho and I, Boston","267 Huntington Ave, Boston, MA 02115-4506",(87),30,36,16,0,2,$,Asian,Thai,Vietnamese
"Panera Bread, Boston","200 High St Lbby 1, Boston, MA 02110",(145),42,44,10,6,10,$$ - $$$,American,Cafe,Soups
"Cornwall's, Boston","654 Beacon St Ste 1, Boston, MA 02215-2099",(76),27,29,12,0,4,$$ - $$$,Bar,British,Pub
"Lolita, Boston","253 Summer St, Boston, MA 02210-1114",(73),28,23,10,3,5,$$ - $$$,Mexican,Bar,Pub
"Tavolo, Boston","1918 Dorchester Ave, Boston, MA 02124-3765",(43),21,17,3,1,0,$$ - $$$,Italian,Vegetarian Friendly,
"Kamakura, Boston","150 State St, Boston, MA 02109-2505",(24),17,3,2,1,0,$$$$,Japanese,Sushi,Asian
"The Porter Cafe, Boston","1723 Centre St, Boston, MA 02132-1550",(41),23,12,6,0,0,$$ - $$$,American,Bar,Pub
"Irashai, Boston","8 Kneeland St, Boston, MA 02111-1515",(39),10,17,3,0,0,$$ - $$$,Japanese,Sushi,Asian
"Brighton Bodega, Boston","328 Washington St, Boston, MA 02135-3319",(28),19,6,1,2,0,$$ - $$$,Vegetarian Friendly,Vegan Options,
"China Pearl Restaurant, Boston","9 Tyler St, Boston, MA 02111-1905",(221),57,82,36,15,17,$$ - $$$,Chinese,Asian,Cantonese
"Oliveira's, Boston","297 Chelsea St, Boston, MA 02128-1455",(35),11,8,3,0,0,Brazilian,Latin,Barbecue,Spanish
"Game On!, Boston","82 Lansdowne St, Boston, MA 02215-3411",(163),39,53,40,10,13,$$ - $$$,American,Bar,Pizza
"Blue Nile, Boston","389 Centre St, Boston, MA 02130-1241",(51),25,17,3,1,1,$$ - $$$,African,Ethiopian,Vegetarian Friendly
"Florina Pizzeria and Paninoteca, Boston","16 Derne St in back of State House, Boston, MA 02114-4203",(20),17,2,0,0,0,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Shenannigans Bar, Boston","332 W Broadway D Street, Boston, MA 02127-1931",(49),22,21,4,0,1,$$ - $$$,American,Irish,Bar
"Boloco, Boston","569 Boylston St, Boston, MA 02116-3745",(60),16,18,12,3,0,$,Mexican,Fast Food,Vegetarian Friendly
"The Squealing Pig, Boston","134 Smith St, Boston, MA 02120-1674",(85),25,40,13,5,1,$$ - $$$,American,Bar,Pub
"Garlic 'n Lemons, Boston","133 Harvard Ave, Boston, MA 02134-2702",(40),30,8,0,1,1,$,Lebanese,Fast Food,Mediterranean
"Rox Diner, Boston","1881 Centre St, Boston, MA 02132-1947",(45),26,15,3,0,1,$,American,Cafe,Diner
"Galway House, Boston","710 Centre St, Boston, MA 02130-2516",(55),25,21,5,1,2,$,American,Bar,Pub
Garden Cafeteria at the Museum of Fine Arts Boston,"465 Huntington Ave, Boston, MA 02115-5523",(71),14,27,15,5,0,$,American,Vegetarian Friendly,Vegan Options
"Symphony Sushi, Boston","45 Gainsborough St, Boston, MA 02115-4501",(81),27,37,10,3,2,$$ - $$$,Japanese,Sushi,Asian
The Cafe at Taj Boston,"15 Arlington St, Boston, MA 02116-3417",(186),81,47,16,9,19,$$$$,Indian,Vegetarian Friendly,Vegan Options
"McCormick & Schmick's Seafood & Steaks, Boston","1 Faneuil Hall Market Pl Faneuil Hall Marketplace, Boston, MA 02109-6117",(611),130,162,113,65,59,$$ - $$$,American,Seafood,Vegetarian Friendly
"Angela's Cafe Orient Heights, Boston","1012 Bennington St Orient Heights, Boston, MA 02128-1139",(28),15,12,1,0,0,$$ - $$$,Mexican,Spanish,Vegetarian Friendly
"Al-Wadi Restaurant, Boston","1249 Vfw Pkwy, Boston, MA 02132-4908",(91),45,28,7,2,8,$$ - $$$,Lebanese,Mediterranean,Middle Eastern
"Harpoon Tap Room, Boston","Airport Road Terminal A, Satellite Concourse, Gate A-20, Boston, MA 02128",(109),38,38,15,3,7,$$ - $$$,American,Bar,Pub
"McKenna's Cafe, Boston","109 Savin Hill Ave Ste C, Boston, MA 02125-1442",(61),33,15,2,0,3,$,American,Cafe,Vegetarian Friendly
"Volle Nolle, Boston","351 Hanover St, Boston, MA 02113-1910",(50),36,4,2,0,1,$$ - $$$,Italian,American,Wine Bar
"Zen Japanese Grill & Sushi Bar, Boston","21 Beacon St, Boston, MA 02108-2804",(70),19,30,13,1,1,$$ - $$$,Japanese,Sushi,Asian
"Connolly's Publik House, Boston","1 Hotel Dr, Boston, MA 02128-5500",(402),57,147,119,48,19,$$ - $$$,American,Bar,Pub
Area Four Boston,"264 East Berkeley Street Troy South End, Boston, MA 02118-2208",(31),16,11,1,1,0,$$ - $$$,American,Pizza,Vegetarian Friendly
"Avana Sushi, Boston","42 Beach St, Boston, MA 02111-2056",(78),33,26,11,0,4,$,Japanese,Sushi,Asian
"Penang, Boston","685 Washington St, Boston, MA 02111-1611",(267),66,103,43,18,19,$$ - $$$,Malaysian,Vegetarian Friendly,Vegan Options
"OTTO, Boston","888 Commonwealth Ave, Boston, MA 02446",(45),22,18,3,0,1,$,Pizza,,
"Paddy O's, Boston","33 Union St, Boston, MA 02108-2414",(144),48,43,24,11,7,$$ - $$$,American,Irish,Bar
"The Red Hat, Boston","9 Bowdoin St Ste 1, Boston, MA 02114-4221",(71),19,30,11,4,1,$$ - $$$,American,Bar,Pub
"Scali Cafe, Boston","147 Pearl St, Boston, MA 02110-2417",(54),21,22,3,2,2,$,American,Cafe,Deli
"Bonchon Chicken, Boston","123 Brighton Avenue, Boston, MA 02134",(72),35,21,10,2,2,$$ - $$$,Asian,Korean,
"Tangierino, Boston","83 Main St, Boston, MA 02129",(186),56,75,29,15,9,$$ - $$$,Moroccan,Halal,
"North Square Oyster, Boston","5 North Square, Boston, MA 02113-2421",(66),35,14,6,5,2,$$ - $$$,American,Seafood,Vegetarian Friendly
"Ristorante Villa Francesca, Boston","150 Richmond St, Boston, MA 02109-1413",(415),112,107,81,43,48,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Shawarma Falafel, Boston","26 Province St, Boston, MA 02108-5105",(55),23,17,7,1,1,$,Lebanese,Fast Food,Mediterranean
"China King, Boston","60 Beach St, Boston, MA 02111-2128",(71),33,28,3,3,2,$,Chinese,Vegetarian Friendly,
"Central Wharf Co., Boston","160 Milk St, Boston, MA 02109-3406",(122),40,45,18,8,7,$$ - $$$,American,Bar,Seafood
"Walrus & Carpenter, Boston","200 Faneuil Hall Market Pl, Boston, MA 02109-1634",(77),35,16,6,3,5,$$ - $$$,American,Seafood,Soups
"Blackstone Grill, Boston","15 Union St, Boston, MA 02108-2406",(94),32,36,13,6,3,$$ - $$$,American,Bar,Pub
"Broadside Tavern, Boston","99 Broad St, Boston, MA 02110-3401",(49),15,22,7,1,2,$$ - $$$,American,Bar,Pub
"North End Fish Market, Boston","99 Salem St, Boston, MA 02113-2251",(25),18,2,1,0,0,$$ - $$$,Japanese,Seafood,Sushi
Table Boston,"445 Hanover St North End, Boston, MA 02113-1403",(28),23,0,3,0,2,$$ - $$$,Italian,,
"Antonio's Bacaro, Boston","5 Fairmount Ave Hyde Park, Boston, MA 02136-2701",(24),19,4,0,0,1,$$ - $$$,Italian,Vegetarian Friendly,
"Chicken & Rice Guys, Boston","280 Washington St, Boston, MA 02108-4638",(24),14,5,4,0,0,$,Quick Bites,Mediterranean,Street Food
"Great Taste Bakery and Restaurant, Boston","61 Beach St # 63, Boston, MA 02111-2143",(57),20,25,3,3,2,$,Chinese,Asian,Cantonese
"Fin's Japanese Sushi and Grill, Boston","636 Beacon St, Boston, MA 02215-2004",(68),23,24,9,0,3,$$ - $$$,Japanese,Seafood,Sushi
City Winery Boston,"80 Beverly St One Canal, Boston, MA 02114-2134",(83),32,25,11,11,4,$$ - $$$,American,Bar,Pub
"Allston Diner, Boston","431 Cambridge St, Boston, MA 02134-1788",(40),19,14,2,1,1,$,American,Cafe,Diner
"Flatbread Pizza Company Brighton, Boston","76 Guest St, Boston, MA 02135-2028",(19),12,7,0,0,0,$$ - $$$,Pizza,Vegetarian Friendly,
"Sol Azteca Restaurant, Boston","914A Beacon St, Boston, MA 02215-3033",(78),33,22,12,6,3,$$ - $$$,Mexican,Latin,Vegetarian Friendly
"The Broadway, Boston","726 E Broadway, Boston, MA 02127-1504",(23),9,14,0,0,0,$$ - $$$,American,Vegetarian Friendly,
Decca Boston,"Boston National Historical Park, Charlestown Navy Yard, Building 10, Boston, MA 02129",(48),14,24,4,0,2,$,American,,
"Bamboo Thai Restaurant, Boston","1616 Commonwealth Ave, Boston, MA 02135-5001",(64),31,17,11,3,0,$$ - $$$,Asian,Thai,Vegetarian Friendly
"Kaze, Boston","1 Harrison Ave, Boston, MA 02111-2016",(59),21,24,4,1,2,$$ - $$$,Japanese,Asian,Vegetarian Friendly
"Umai, Boston","224 Newbury St Between Fairfield & Exeter St, Boston, MA 02116-2504",(63),15,25,8,2,2,$$ - $$$,Japanese,Sushi,Asian
"Lemonciello, Boston","190 North St, Boston, MA 02113-2412",(31),16,6,6,1,1,$$ - $$$,Italian,Vegetarian Friendly,
"Citrus & Salt, Boston","142 Berkeley St, Boston, MA 02116-5100",(63),24,17,13,6,3,$$ - $$$,Mexican,Vegetarian Friendly,
"Yellow Door Taqueria, Boston","2297 Dorchester Ave Lower Mills, Boston, MA 02124-5625",(21),13,7,0,1,0,$$ - $$$,Mexican,Vegetarian Friendly,
"Casa Verde, Boston","711 Centre St Jamaica Plain, MA 02130, Boston, MA 02130-2520",(38),16,13,4,2,1,$$ - $$$,Mexican,Vegetarian Friendly,
"Vejigantes Restaurant, Boston","57 W Dedham St, Boston, MA 02118-1636",(119),44,37,19,6,9,$$ - $$$,Caribbean,Latin,Spanish
"Fish Market Sushi Bar, Boston","170 Brighton Ave, Boston, MA 02134-2011",(35),18,12,1,1,0,$$ - $$$,Japanese,Seafood,Sushi
"Bootleg Special, Boston","400 Tremont St, Boston, MA 02116-6309",(39),17,14,4,3,1,$$ - $$$,American,Cajun & Creole,Seafood
"Frenchie Wine Bistro, Boston","560 Tremont St, Boston, MA 02118-3717",(59),20,17,11,4,3,$$ - $$$,French,European,
"Rail Stop, Boston","96 Guest St, Boston, MA 02135-2071",(35),15,15,3,0,2,$$ - $$$,American,,
"The Green Turtle Inn, Boston","1 pier 8 13th St, Boston, MA 02129-2017",(19),18,1,0,0,0,$$ - $$$,Vegetarian Friendly,,
"Dry Dock Cafe, Boston","7 Drydock Ave, Boston, MA 02210-2303",(35),20,10,4,0,1,$$ - $$$,Seafood,,
"Jim's Deli & Restaurant, Boston","371 Washington St, Boston, MA 02135-2730",(43),29,6,4,1,1,$,American,Deli,Vegetarian Friendly
"Au Bon Pain, Boston","431 Boylston St, Boston, MA 02116-3301",(61),12,15,5,1,0,$,,,
"City Feed and Supply, Boston","672 Centre St, Boston, MA 02130-2507",(36),18,13,5,0,0,$,American,Cafe,Deli
"Sakurabana, Boston","57 Broad St, Boston, MA 02109-4824",(68),21,28,13,2,1,$$ - $$$,Japanese,Sushi,Asian
"Mija Cantina & Tequila Bar, Boston","1 Faneuil Hall Market Pl, Boston, MA 02109-6117",(268),48,97,56,24,23,$$ - $$$,Mexican,Bar,
"Hong Kong Eatery, Boston","79 Harrison Ave, Boston, MA 02111-1909",(88),21,29,13,8,2,$,Chinese,Asian,Cantonese
"Sorella's, Boston","388 Centre St, Boston, MA 02130-1876",(50),20,19,6,2,2,$,American,Vegetarian Friendly,
"Potbelly Sandwich Shop, Boston","263 Washington Street, Boston, MA 02108",(42),14,15,4,1,0,$,American,Fast Food,Soups
"Alibi Bar and Lounge, Boston","215 Charles St, Boston, MA 02114-3001",(147),58,47,17,10,12,$$ - $$$,American,Bar,
"Harry's All-American Breakfast, Boston","1420 Centre St, Boston, MA 02131-1412",(31),17,9,3,0,0,$,American,Diner,Vegetarian Friendly
"Eddie V's Prime Seafood, Boston","122 Belvidere St Prudential Center, Back Bay, Boston, MA 02199-7617",(42),23,8,3,2,3,$$$$,American,Seafood,
"Oak + Rowan, Boston","321 A Street Fort Point Fort Point, Boston, MA 02210-1610",(116),44,36,19,8,6,$$$$,American,Vegetarian Friendly,Gluten Free Options
"Ginger Exchange at Symphony, Boston","250 Huntington Ave, Boston, MA 02115-4606",(77),20,30,17,3,4,$$ - $$$,Chinese,Japanese,Sushi
"Chipotle Mexican Grill, Boston","283 Washington St, Boston, MA 02108",(105),25,23,14,12,4,$,Mexican,Fast Food,Vegetarian Friendly
Time Out Market Boston,"401 Park Drive, Boston, MA 02215",(55),20,21,5,7,2,$$ - $$$,Quick Bites,Italian,American
"The Living Room, Boston","101 Atlantic Ave Corner of Richmond and Atlantic Ave, Boston, MA 02110-3702",(109),40,29,17,9,8,$$ - $$$,American,Bar,International
"Thornton's Fenway Grille, Boston","100 Peterborough St, Boston, MA 02215-4847",(87),24,30,20,4,4,$$ - $$$,American,Bar,International
"Shun's Kitchen, Boston","520 Columbus Ave, Boston, MA 02118-3435",(24),12,7,2,0,0,$$ - $$$,Chinese,Japanese,Sushi
"Local 149, Boston","149 P Street, Boston, MA 02127",(78),32,25,13,3,4,$$ - $$$,American,Bar,Pub
"Cheeky Monkey Brewing Co, Boston","3 Lansdowne St, Boston, MA 02215-3412",(48),18,13,12,2,1,$$ - $$$,American,Brew Pub,Bar
"Cafe G, Boston","25 Evans Way, Boston, MA 02115-5538",(34),11,14,7,1,0,$$ - $$$,American,Cafe,Vegetarian Friendly
"Whole Heart Provisions, Boston","487 Cambridge St, Boston, MA 02134-2019",(37),20,11,2,1,1,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Yamato Restaurant, Boston","117 Chiswick Rd, Boston, MA 02135-5302",(62),21,19,7,2,2,$$ - $$$,Japanese,Sushi,Asian
"BLR by Shojo, Boston","13 Hudson St, Boston, MA 02111-1903",(43),19,14,6,1,0,$$ - $$$,Chinese,Asian,
"Club Cafe, Boston","209 Columbus Ave, Boston, MA 02116-5109",(92),39,27,12,6,5,$$ - $$$,American,Bar,
"New York Pizza, Boston","224 Tremont St, Boston, MA 02116-4783",(87),26,30,9,5,2,$,Pizza,Fast Food,Vegetarian Friendly
"Izakaya Ittoku, Boston","1414 Commonwealth Ave, Boston, MA 02135-3701",(24),13,2,0,0,0,$$ - $$$,Japanese,Sushi,Asian
"Pierrot Bistrot Francais, Boston","272 Cambridge St, Boston, MA 02114-3123",(90),34,32,9,4,3,$$ - $$$,French,European,
"Himalayan Bistro, Boston","1735 Centre St, Boston, MA 02132-1550",(52),26,19,4,3,0,$$ - $$$,Indian,Asian,Nepali
"Cafe Landwer, Boston","383 Chestnut Hill Ave Cleveland Circle, Boston, MA 02135-7769",(34),18,9,2,4,0,$$ - $$$,Italian,Cafe,Mediterranean
"Regina’s Pizzeria, Boston","700 Atlantic Ave South Station, Boston, MA 02111-2813",(35),17,8,4,1,0,$,Italian,Pizza,Vegetarian Friendly
"Koy, Boston","16 North St, Boston, MA 02109-1503",(88),35,20,15,7,3,$$ - $$$,Asian,Korean,
"Whole Foods Market, Boston","348 Harrison Ave, Boston, MA 02118-2237",(28),10,9,3,0,0,$,Vegetarian Friendly,Vegan Options,
"Kala Thai Cookery, Boston","151 Hanover St corner of Blackstone Street, Boston, MA 02108-2401",(17),11,4,1,0,0,$$ - $$$,Asian,Thai,Vegetarian Friendly
"City Bar, Boston","425 Summer St, Boston, MA 02210-1719",(49),20,14,9,2,2,$$ - $$$,American,Bar,Pub
"The Paramount, Boston","667 E Broadway, Boston, MA 02127-1503",(54),23,16,6,0,4,$$ - $$$,American,Vegetarian Friendly,Gluten Free Options
"The Kinsale, Boston","2 Center Plz Government Center, Boston, MA 02108-1909",(143),22,69,28,12,6,$$ - $$$,American,Irish,Bar
"YoMa, Boston","5 N Beacon St, Boston, MA 02134-1901",(42),25,11,3,3,0,$$ - $$$,Asian,Burmese,Vegetarian Friendly
"Article 24, Boston","458 Western Ave, Boston, MA 02135",(33),9,16,6,1,0,$$ - $$$,American,Bar,Pub
"Gourmet India, Boston","1 Faneuil Hall Sq, Boston, MA 02109-1604",(45),12,19,5,3,2,$,Indian,Fast Food,Vegetarian Friendly
"Evergreen Eatery, Boston","154 Green Street, Boston, MA 02130-2641",(14),11,3,0,0,0,$$ - $$$,Cafe,Diner,
"Coppersmith, Boston","40 W 3rd St 40 W 3rd Street, 02127, Boston, Massachusetts, Boston, MA 02127-1118",(102),29,32,20,10,5,$$ - $$$,American,Bar,International
"Tiki Rock, Boston","2 Broad St just off State Street, next to the Bostonia Public House, Boston, MA 02109-3202",(34),24,1,2,1,4,$$ - $$$,Japanese,American,Bar
"Piccolo Nido, Boston","257 North St, Boston, MA 02113-2107",(86),38,25,6,3,11,$$ - $$$,Italian,Vegetarian Friendly,
"sweetgreen, Boston","13 School St, Boston, MA 02108",(22),8,5,1,1,0,$$ - $$$,Vegetarian Friendly,Vegan Options,
"Punjab Palace, Boston","109 Brighton Ave, Boston, MA 02134-2802",(52),24,19,4,1,4,$$ - $$$,Indian,Vegetarian Friendly,Vegan Options
"Oath Craft Pizza, Boston","700 Atlantic Ave, Boston, MA 02111-2813",(25),15,6,3,0,0,$,Pizza,Vegetarian Friendly,Vegan Options
"Dig, Boston","277 Washington Street, Boston, MA 02108",(16),12,3,0,0,0,$$ - $$$,American,Healthy,
"Lucie Drink + Dine, Boston","120 Huntington Ave, Boston, MA 02116-5730",(12),11,1,0,0,0,$$ - $$$,American,,
The French Room at Taj Boston,"15 Arlington St 2nd Floor, Boston, MA 02116-3417",(61),26,15,7,3,3,$$$$,American,,
"Oppa Sushi, Boston","185 Harvard Ave, Boston, MA 02134-2801",(19),12,5,1,0,0,$$ - $$$,Japanese,Seafood,Sushi
"Haley House Bakery Cafe, Boston","12 Dade St Roxbury, Boston, MA 02119-2084",(26),18,7,1,0,0,$,American,African,Latin
"Royal Roast Beef and Seafood, Boston","752 Bennington St, Boston, MA 02128-1136",(39),15,13,7,2,1,$,American,Seafood,Fast Food
"L Street Diner & Pizzeria, Boston","108 L St, Boston, MA 02127-3171",(27),16,9,0,1,1,$,American,Pizza,Diner
"Le's Restaurant, Boston","137 Brighton Ave, Boston, MA 02134-2802",(62),23,26,6,4,2,$,Asian,Vietnamese,Soups
"Moby Dick, Boston","269 Huntington Ave, Boston, MA 02115-4506",(27),16,7,1,0,1,$,Persian,,
"Lucy Ethiopian Cafe, Boston","334 Massachusetts Ave, Boston, MA 02115-2234",(58),26,17,9,1,5,$$ - $$$,African,Ethiopian,Vegetarian Friendly
"Grille 705, Boston","705 Massachusetts Ave, Boston, MA 02118-4056",(21),10,9,0,0,0,$$ - $$$,American,,
"SideBar, Boston","14 Bromfield St, Boston, MA 02108-5203",(31),13,12,6,0,0,$,American,Bar,Pub
"Beantown Pastrami Co., Boston","100 Hanover St. Bsotn Public Market, Boston, MA 02108",(23),10,7,3,0,0,$,American,Fast Food,Deli
"Maverick Marketplace Cafe, Boston","154 Maverick St, Boston, MA 02128-2367",(18),14,2,2,0,0,$$ - $$$,American,Bar,Pub
"Kaju Tofu House, Boston","58 Harvard Ave, Boston, MA 02134-1706",(37),14,10,5,3,0,$$ - $$$,Asian,Korean,
"The Blarney Stone, Boston","1505 Dorchester Ave Dorchester, Boston, MA 02122-1329",(45),19,16,7,0,2,$$ - $$$,American,Irish,Bar
"Billy Tse's Restaurant, Boston","240 Commercial St North End, Boston, MA 02109-1315",(69),20,27,11,7,2,$$ - $$$,Chinese,Japanese,Sushi
"mccormick & smicks, Boston","MC Kinley Square, Boston, MA 02109-6117",(90),27,26,18,7,5,$$ - $$$,American,Seafood,
"Avana Sushi, Boston","58 Franklin St, Boston, MA 02110-1302",(16),13,0,1,0,0,$,Japanese,Sushi,Asian
"The Daily Catch Seaport, Boston","2 Northern Ave 2 Northern Ave, 02210, Boston, Massachusetts, Boston, MA 02210-1851",(220),63,42,41,29,24,$$ - $$$,Italian,Seafood,Vegetarian Friendly
"Forty Dalton, Boston","40 Dalton St, Boston, MA 02115-3155",(67),21,25,12,1,4,$$ - $$$,American,,
"The Landing at Long Wharf, Boston","1 Long Wharf, Boston, MA 02110-3602",(74),21,30,11,5,5,$$ - $$$,,,
"Tenoch, Boston","3 Lewis St, Boston, MA 02109-1322",(41),20,14,4,1,2,$,Mexican,Latin,Vegetarian Friendly
"Lucy's American Tavern, Boston","13 Granite Ave, Boston, MA 02124",(60),14,25,11,6,2,$$ - $$$,American,Bar,Pub
"Pleasant Cafe & Restaurant, Boston","4515 Washington St, Boston, MA 02131-3441",(67),23,32,5,2,5,$$ - $$$,Diner,,
"Crazy Dough's Pizza, Boston","1124 Boylston St, Boston, MA 02215-3601",(28),17,10,0,1,0,$,Pizza,Fast Food,
"Papagayo West St, Boston","15 West St, Boston, MA 02111-1203",(55),20,16,12,4,1,$$ - $$$,Mexican,Southwestern,Vegetarian Friendly
"Southern Proper, Boston","600 Harrison Ave, Boston, MA 02118-2419",(40),13,13,10,4,0,$$ - $$$,American,Barbecue,
"Equator, Boston","1721 Washington St, Boston, MA 02118-1805",(43),15,17,8,1,0,$$ - $$$,International,Asian,Thai
"49 Social, Boston","49 Temple Pl, Boston, MA 02111-1319",(89),33,27,16,6,4,$$ - $$$,American,Bar,Pub
"Pete's Dockside, Boston","12 Channel St, Boston, MA 02210-2323",(22),12,7,2,0,0,$,,,
"Domenic's, Boston","54 Salem St, Boston, MA 02113-2204",(13),9,4,0,0,0,$$ - $$$,Italian,,
"Fin’s Sushi and Grill, Boston","354 Chestnut Hill Ave, Boston, MA 02135-7773",(41),13,19,4,0,0,$$ - $$$,Japanese,Seafood,Sushi
"Night Shift Brewing - Lovejoy Wharf, Boston","1 Lovejoy Wharf Suite 101 BOSTON M.A 02114, Boston, MA 02114-2114",(24),17,2,0,2,1,$$ - $$$,Bar,Pub,
"Bukhara Indian Bistro, Boston","3698 Washington St, Boston, MA 02130",(83),27,38,6,7,3,$$ - $$$,Indian,Vegetarian Friendly,Vegan Options
"Shanghai Gate, Boston","204 Harvard Ave, Boston, MA 02134-4619",(43),20,18,3,1,1,$,Chinese,Japanese,Asian
"Barlow's Restaurant, Boston","241 A St, Boston, MA 02210-1300",(68),21,26,11,5,3,$$ - $$$,American,Bar,
"Mi Pueblito, Boston","333 Border St, Boston, MA 02128-2401",(31),21,6,1,1,0,$$ - $$$,Mexican,Latin,Salvadoran
"Avery Bar, Boston","10 Avery St The Ritz-Carlton, Boston, MA 02111-1005",(46),24,12,1,3,2,$$$$,American,,
"The Bebop, Boston","1116 Boylston St, Boston, MA 02215-3601",(30),14,10,1,2,1,$$ - $$$,Bar,Pub,
"Itadaki, Boston","269 Newbury St, Boston, MA 02116-2407",(91),32,27,11,5,7,$$ - $$$,Japanese,Sushi,Asian
"Seiyo, Boston","1721 Washington St, Boston, MA 02118-1805",(34),18,8,4,0,0,$$ - $$$,Japanese,Sushi,Asian
Dine Boston Restaurant,"1 Harborside Dr Terminal E, Security Checkpoint, Boston, MA 02128",(103),22,44,12,6,6,$$ - $$$,American,Bar,Vegetarian Friendly
"Taiwan Cafe, Boston","34 Oxford St Beach St., Boston, MA 02111-2002",(156),54,47,23,5,10,$$ - $$$,Chinese,Asian,Taiwanese
"The Corner Tavern, Boston","421 Marlborough St, Boston, MA 02115-1203",(54),18,25,5,1,2,$$ - $$$,American,Bar,Pub
"Cafe Porto Bello, Boston","672 E Broadway, Boston, MA 02127-1596",(44),22,18,0,1,1,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Restaurante Cesaria, Boston","266 Bowdoin St Dorchester, Boston, MA 02122-1814",(30),17,6,1,1,1,$$ - $$$,African,Seafood,Portuguese
"La Taqueria Taco Bar & Grill, Boston","636 Hyde Park Ave, Boston, MA 02131-4307",(11),11,0,0,0,0,$,Quick Bites,Mexican,Latin
"La Hacienda, Boston","150 Meridian St Test, Boston, MA 02128-1944",(32),17,3,4,0,1,$$ - $$$,Mexican,Latin,Spanish
"by CHLOE. - Fenway, Boston","100 Van Ness Street, Boston, MA 02215",(26),13,8,1,2,1,$$ - $$$,American,Fast Food,Healthy
"Point, Boston","147 Hanover St, Boston, MA 02108-2402",(34),14,15,2,0,1,$,Bar,Pub,
"Fin's Sushi & Grill, Boston","62 Boylston St, Boston, MA 02116-4799",(28),11,10,5,1,0,$$ - $$$,Japanese,Seafood,Sushi
"Wendy's, Boston","551 Boylston Street, Boston, MA 02116",(42),5,5,8,0,1,$,American,Fast Food,
"Cafe 472, Boston","472 Commonwealth Ave, Boston, MA 02215-2736",(26),15,6,2,1,1,$,American,Cafe,Vegetarian Friendly
Shaking Crab - Boston Common,"140 Boylston St, Boston, MA 02116-4632",(21),8,7,2,0,1,$$ - $$$,Cajun & Creole,Seafood,
"SideBar Lounge, Boston","Sheraton Boston 39 Dalton Street, Boston, MA",(53),21,15,8,4,3,$$ - $$$,American,Bar,Pub
"Warehouse Bar & Grille, Boston","40 Broad St, Boston, MA 02109-4316",(53),11,26,9,2,3,$$ - $$$,American,Bar,Vegetarian Friendly
"by CHLOE., Boston","399 Boylston Street, Boston, MA 02116",(18),12,3,0,0,1,$$ - $$$,Quick Bites,American,Fast Food
"Sunset Cantina, Boston","916 Commonwealth Ave, Boston, MA 02215-1204",(99),13,55,16,4,6,$$ - $$$,Mexican,American,Bar
Taiyaki NYC - Boston,"119 Seaport Blvd Suite B, Boston, MA 02210-2050",(20),4,12,4,0,0,,,,
"Laughing Monk Cafe, Boston","737 Huntington Ave, Boston, MA 02115-6304",(15),11,3,1,0,0,$$ - $$$,Sushi,Asian,Thai
"Peach Farm Restaurant, Boston","4 Tyler St Ste 1, Boston, MA 02111-1941",(127),35,43,15,8,11,$$ - $$$,Chinese,Seafood,Asian
"Pino’s Pizza, Boston","1920A Beacon St, Boston, MA 02135-7701",(54),20,16,10,1,3,$,Italian,Pizza,Vegetarian Friendly
"Doughboy Donuts and Deli, Boston","220 Dorchester Ave, Boston, MA 02127-1823",(20),12,6,2,0,0,$,Cafe,Fast Food,Deli
"Big Daddy's, Boston","436 Western Ave, Boston, MA 02135-1016",(28),14,11,0,2,1,$,Italian,Pizza,
"1855 Bar a Vin, Boston","259 Newbury St, Boston, MA 02116-2402",(10),6,2,0,0,0,$$ - $$$,French,,
"The Corner Pub, Boston","162 Lincoln St Leather District, Boston, MA 02111-2404",(30),9,12,3,2,1,$,American,Bar,Pub
"Ilona, Boston","783 Tremont St, Boston, MA 02118-1005",(10),7,3,0,0,0,$$$$,Mediterranean,Middle Eastern,
"La Casa de Pedro Tapas & Ceviche bar, Boston","505 Congress St, Boston, MA 02210-2902",(46),20,11,8,3,1,$$ - $$$,Latin,Spanish,Venezuelan
"Del Frisco's Double Eagle Steakhouse, Boston","888 Boylston St Suite 053, Boston, MA 02199-8192",(66),29,10,5,6,10,$$$$,American,Steakhouse,
"Brandy Pete's, Boston","267 Franklin St, Boston, MA 02110-3151",(80),15,31,20,7,2,$$ - $$$,American,Bar,
"753 South, Boston","753 South St Roslindale, Boston, MA 02131-1705",(16),9,4,3,0,0,$$ - $$$,Bar,Pub,Vegetarian Friendly
